"date","gdp_growth","nfci"
1989-07-01,2.95202260683567,0.261923076923077
1989-10-01,0.787149208384363,0.174384615384615
1990-01-01,4.34781298483671,0.0555384615384615
1990-04-01,1.44925153473565,0.004
1990-07-01,0.266238094246773,0.0885384615384615
1990-10-01,-3.65829625922842,0.465923076923077
1991-01-01,-1.87615565940291,0.183076923076923
1991-04-01,3.10666075762498,-0.234384615384615
1991-07-01,2.01634414136223,-0.473846153846154
1991-10-01,1.39175533924316,-0.610692307692308
1992-01-01,4.76056736857018,-0.661846153846154
1992-04-01,4.31386743708444,-0.815923076923077
1992-07-01,3.93304119949818,-0.900692307692308
1992-10-01,4.14982148932594,-0.748230769230769
1993-01-01,0.667218104824485,-0.952538461538462
1993-04-01,2.32193150936979,-0.991692307692308
1993-07-01,1.90408018990453,-1.07584615384615
1993-10-01,5.40392920803043,-0.974571428571429
1994-01-01,3.86274081303526,-0.938083333333333
1994-04-01,5.38432863013441,-0.726923076923077
1994-07-01,2.33152995976269,-0.760714285714286
1994-10-01,4.55623274671524,-0.526923076923077
1995-01-01,1.41661058432518,-0.565846153846154
1995-04-01,1.19151498603571,-0.683076923076923
1995-07-01,3.38850890428262,-0.694538461538462
1995-10-01,2.70714669877208,-0.731923076923077
1996-01-01,2.98503469240003,-0.782307692307692
1996-04-01,6.61674672356298,-0.701846153846154
1996-07-01,3.57213717308511,-0.725846153846154
1996-10-01,4.13206201974745,-0.754692307692308
1997-01-01,2.57347653523041,-0.712384615384615
1997-04-01,6.60602040106966,-0.639230769230769
1997-07-01,4.96335452775156,-0.646076923076923
1997-10-01,3.4009420197485,-0.513230769230769
1998-01-01,3.99499595454031,-0.604846153846154
1998-04-01,3.68571859276869,-0.585538461538462
1998-07-01,5.00432603077456,-0.378461538461538
1998-10-01,6.3855449962098,-0.0730769230769231
1999-01-01,3.74019405097883,-0.310846153846154
1999-04-01,3.32511273982803,-0.399230769230769
1999-07-01,5.26868131431257,-0.188461538461538
1999-10-01,6.50941426842664,-0.136857142857143
2000-01-01,1.44854760322062,-0.173461538461538
2000-04-01,7.21960413799181,-0.00607692307692308
2000-07-01,0.407522681486938,-0.153307692307692
2000-10-01,2.3810543139561,-0.125153846153846
2001-01-01,-1.31334897965729,-0.235
2001-04-01,2.49024396590869,-0.384
2001-07-01,-1.6057756167271,-0.442538461538462
2001-10-01,1.09759452094309,-0.370538461538462
2002-01-01,3.33152222755828,-0.470307692307692
2002-04-01,2.443348677388,-0.583230769230769
2002-07-01,1.6227496189515,-0.412769230769231
2002-10-01,0.494114897589526,-0.420769230769231
2003-01-01,2.10104030634,-0.530307692307692
2003-04-01,3.52689218114719,-0.689923076923077
2003-07-01,6.5980810343774,-0.689307692307692
2003-10-01,4.61614681896094,-0.710923076923077
2004-01-01,2.26020809556076,-0.789384615384615
2004-04-01,3.08785996757663,-0.725076923076923
2004-07-01,3.77649195406846,-0.696615384615385
2004-10-01,4.06015652845326,-0.706071428571429
2005-01-01,4.41302021169463,-0.698
2005-04-01,1.96566012344945,-0.611692307692308
2005-07-01,3.12303268045255,-0.597285714285714
2005-10-01,2.21591694883045,-0.575
2006-01-01,5.3456553790852,-0.615461538461539
2006-04-01,1.03367429955981,-0.585769230769231
2006-07-01,0.599374416032106,-0.581230769230769
2006-10-01,3.42311022616641,-0.624615384615385
2007-01-01,1.20153624685244,-0.651769230769231
2007-04-01,2.43959316587237,-0.563769230769231
2007-07-01,2.29749244372286,-0.0616153846153846
2007-10-01,2.50508620487793,0.272076923076923
