"cohort","membership_age","num_active","num_users","membership_age_in_breach","activity_name"
9,12,26,1392,18,"Deleted Photos"
9,13,28,1392,18,"Deleted Photos"
9,14,24,1392,18,"Deleted Photos"
9,15,25,1392,18,"Deleted Photos"
9,16,17,1392,18,"Deleted Photos"
9,17,20,1392,18,"Deleted Photos"
9,18,45,1392,18,"Deleted Photos"
9,19,16,1392,18,"Deleted Photos"
9,20,13,1392,18,"Deleted Photos"
10,0,234,1375,17,"Deleted Photos"
10,1,186,1375,17,"Deleted Photos"
10,2,120,1375,17,"Deleted Photos"
10,3,93,1375,17,"Deleted Photos"
10,4,60,1375,17,"Deleted Photos"
10,5,57,1375,17,"Deleted Photos"
10,6,35,1375,17,"Deleted Photos"
10,7,35,1375,17,"Deleted Photos"
10,8,37,1375,17,"Deleted Photos"
10,9,29,1375,17,"Deleted Photos"
10,10,28,1375,17,"Deleted Photos"
10,11,31,1375,17,"Deleted Photos"
10,12,26,1375,17,"Deleted Photos"
10,13,21,1375,17,"Deleted Photos"
10,14,33,1375,17,"Deleted Photos"
10,15,29,1375,17,"Deleted Photos"
10,16,25,1375,17,"Deleted Photos"
10,17,58,1375,17,"Deleted Photos"
10,18,22,1375,17,"Deleted Photos"
10,19,20,1375,17,"Deleted Photos"
11,0,251,1327,16,"Deleted Photos"
11,1,204,1327,16,"Deleted Photos"
11,2,101,1327,16,"Deleted Photos"
11,3,90,1327,16,"Deleted Photos"
11,4,64,1327,16,"Deleted Photos"
11,5,48,1327,16,"Deleted Photos"
11,6,35,1327,16,"Deleted Photos"
11,7,37,1327,16,"Deleted Photos"
11,8,34,1327,16,"Deleted Photos"
11,9,30,1327,16,"Deleted Photos"
11,10,36,1327,16,"Deleted Photos"
11,11,30,1327,16,"Deleted Photos"
11,12,29,1327,16,"Deleted Photos"
11,13,34,1327,16,"Deleted Photos"
11,14,26,1327,16,"Deleted Photos"
11,15,23,1327,16,"Deleted Photos"
11,16,58,1327,16,"Deleted Photos"
11,17,22,1327,16,"Deleted Photos"
11,18,18,1327,16,"Deleted Photos"
12,0,288,1571,15,"Deleted Photos"
12,1,207,1571,15,"Deleted Photos"
12,2,136,1571,15,"Deleted Photos"
12,3,116,1571,15,"Deleted Photos"
12,4,77,1571,15,"Deleted Photos"
12,5,77,1571,15,"Deleted Photos"
12,6,74,1571,15,"Deleted Photos"
12,7,63,1571,15,"Deleted Photos"
12,8,49,1571,15,"Deleted Photos"
12,9,52,1571,15,"Deleted Photos"
12,10,32,1571,15,"Deleted Photos"
12,11,48,1571,15,"Deleted Photos"
12,12,36,1571,15,"Deleted Photos"
12,13,27,1571,15,"Deleted Photos"
12,14,26,1571,15,"Deleted Photos"
12,15,71,1571,15,"Deleted Photos"
12,16,34,1571,15,"Deleted Photos"
12,17,24,1571,15,"Deleted Photos"
13,0,311,1701,14,"Deleted Photos"
13,1,263,1701,14,"Deleted Photos"
13,2,137,1701,14,"Deleted Photos"
13,3,94,1701,14,"Deleted Photos"
13,4,85,1701,14,"Deleted Photos"
13,5,77,1701,14,"Deleted Photos"
13,6,57,1701,14,"Deleted Photos"
13,7,53,1701,14,"Deleted Photos"
13,8,64,1701,14,"Deleted Photos"
13,9,48,1701,14,"Deleted Photos"
13,10,46,1701,14,"Deleted Photos"
13,11,34,1701,14,"Deleted Photos"
13,12,36,1701,14,"Deleted Photos"
13,13,40,1701,14,"Deleted Photos"
13,14,81,1701,14,"Deleted Photos"
13,15,19,1701,14,"Deleted Photos"
13,16,27,1701,14,"Deleted Photos"
14,0,301,1574,13,"Deleted Photos"
14,1,253,1574,13,"Deleted Photos"
14,2,112,1574,13,"Deleted Photos"
14,3,109,1574,13,"Deleted Photos"
14,4,92,1574,13,"Deleted Photos"
14,5,64,1574,13,"Deleted Photos"
14,6,68,1574,13,"Deleted Photos"
14,7,44,1574,13,"Deleted Photos"
14,8,31,1574,13,"Deleted Photos"
14,9,39,1574,13,"Deleted Photos"
14,10,35,1574,13,"Deleted Photos"
14,11,42,1574,13,"Deleted Photos"
14,12,37,1574,13,"Deleted Photos"
14,13,77,1574,13,"Deleted Photos"
14,14,17,1574,13,"Deleted Photos"
14,15,16,1574,13,"Deleted Photos"
